people,0.0001,0.00000183,0.00000146,-2.021857923497268e-05
people,0.0001,0.00000112,0.00000117,4.464285714285709e-06
people,0.0001,0.00000114,0.00000111,-2.631578947368433e-06
people,0.0001,0.00000133,0.00000129,-3.007518796992484e-06
people,0.0001,0.00000139,0.00000121,-1.2949640287769782e-05
people,0.0001,0.00000128,0.00000119,-7.031249999999999e-06
people,0.0001,0.00000038,0.00000034,-1.0526315789473696e-05
people,0.0001,0.00000037,0.00000033,-1.0810810810810807e-05
people,0.0001,0.00000035,0.00000033,-5.714285714285704e-06
people,0.0001,0.00000034,0.00000031,-8.8235294117647e-06
people,0.0001,0.00000052,0.00000065,2.5000000000000008e-05
people,0.0001,0.00000079,0.00000056,-2.91139240506329e-05
trb,0.0001,0.0004270,0.0004755,1.1358313817330207e-05
trb,0.0001,0.0006186,0.0005516,-1.0830908503071451e-05
trb,0.0001,0.0006315,0.0005666,-1.027711797307997e-05
trb,0.0001,0.0006094,0.0029680,0.0003870364292746965
trb,0.0001,0.0009130,0.0007530,-1.7524644030668127e-05
trb,0.0001,0.0008970,0.0013680,5.250836120401339e-05
trb,0.0001,0.0018000,0.0016400,-8.888888888888888e-06
trb,0.0001,0.0011150,0.0010160,-8.878923766816156e-06
trb,0.0001,0.0010010,0.0009460,-5.4945054945054876e-06
trb,0.0001,0.0009830,0.0009270,-5.696846388606303e-06
trb,0.0001,0.0005190,0.0005210,3.8535645472060503e-07
trb,0.0001,0.0004570,0.0010630,0.0001326039387308534
trb,0.0001,0.0008550,0.0007050,-1.7543859649122806e-05
trb,0.0001,0.0009510,0.0007280,-2.344900105152471e-05
trb,0.0001,0.0007950,0.0007140,-1.0188679245283022e-05
trb,0.0001,0.0007780,0.0006960,-1.053984575835476e-05
trb,0.0001,0.0003720,0.0003820,2.6881720430107597e-06
trb,0.0001,0.0005556,0.0024190,0.0003353851691864652
trb,0.0001,0.0028725,0.0026701,-7.0461270670148004e-06
link,0.0001,0.0000719,0.0000517,-2.8094575799721832e-05
link,0.0001,0.0000493,0.0000504,2.231237322515213e-06
link,0.0001,0.0000383,0.0000405,5.744125326370755e-06
